Circle, Position (x y), Radius (px)
1 , (428 570), 0.00
2 , (428 574), 0.00
3 , (429 568), 0.00
4 , (429 569), 0.00
5 , (429 575), 0.00
6 , (429 576), 0.00
7 , (430 566), 0.00
8 , (430 567), 0.00
9 , (432 564), 0.00
10 , (433 564), 0.00
11 , (433 580), 0.00
12 , (434 563), 0.00
13 , (436 563), 0.00
14 , (437 562), 0.00
15 , (438 562), 0.00
16 , (439 563), 0.00
17 , (441 580), 0.00
18 , (441 563), 0.00
19 , (442 579), 0.00
20 , (442 564), 0.00
21 , (443 579), 0.00
22 , (443 564), 0.00
23 , (445 577), 0.00
24 , (445 576), 0.00
25 , (445 568), 0.00
26 , (445 566), 0.00
27 , (446 575), 0.00
28 , (446 569), 0.00
